regime,t_gen_s,t_fold_s,fold_share,budget,saved
unbatched (§3k),0.476687024750003,2.076059439984369,0.8132650338232453,0.7,0.2538530168674854
unbatched (§3k),0.476687024750003,2.076059439984369,0.8132650338232453,0.5,0.4301657061473896
unbatched (§3k),0.476687024750003,2.076059439984369,0.8132650338232453,0.3,0.6064783954272939
gen b16 / fold b1,0.08222090542187477,2.076059439984369,0.9619044367443383,0.7,0.2801950799241698
gen b16 / fold b1,0.08222090542187477,2.076059439984369,0.9619044367443383,0.5,0.4753626617522043
gen b16 / fold b1,0.08222090542187477,2.076059439984369,0.9619044367443383,0.3,0.6705302435802387
gen b1 / fold b4 sorted,0.476687024750003,1.5302101646093789,0.762475612962433,0.7,0.24130165278307714
gen b1 / fold b4 sorted,0.476687024750003,1.5302101646093789,0.762475612962433,0.5,0.41117170939564796
gen b1 / fold b4 sorted,0.476687024750003,1.5302101646093789,0.762475612962433,0.3,0.5810417660082188
BOTH batched (sorted),0.08222090542187477,1.5302101646093789,0.9490081114473432,0.7,0.2734906064907462
BOTH batched (sorted),0.08222090542187477,1.5302101646093789,0.9490081114473432,0.5,0.46702229081810465
BOTH batched (sorted),0.08222090542187477,1.5302101646093789,0.9490081114473432,0.3,0.6605539751454632
