model,truncation,auc
RITA-small,10,0.587962962962963
RITA-small,10,0.5925925925925926
RITA-small,10,0.5
RITA-small,10,0.16975308641975306
RITA-small,10,0.5987654320987654
RITA-small,10,0.5756172839506173
RITA-small,10,0.7052469135802469
RITA-small,10,0.24228395061728397
RITA-small,10,0.6188271604938271
RITA-small,10,0.521604938271605
RITA-small,10,0.5648148148148149
RITA-small,10,0.521604938271605
RITA-small,10,0.5354938271604939
RITA-small,10,0.49691358024691357
RITA-small,10,0.3194444444444444
RITA-small,20,0.42901234567901236
RITA-small,20,0.5123456790123456
RITA-small,20,0.3688271604938272
RITA-small,20,0.3456790123456791
RITA-small,20,0.5632716049382716
RITA-small,20,0.7237654320987654
RITA-small,20,0.6759259259259259
RITA-small,20,0.22530864197530862
RITA-small,20,0.6342592592592593
RITA-small,20,0.4212962962962963
RITA-small,20,0.5262345679012346
RITA-small,20,0.4228395061728395
RITA-small,20,0.654320987654321
RITA-small,20,0.6095679012345679
RITA-small,20,0.3271604938271605
RITA-small,30,0.5725308641975309
RITA-small,30,0.5185185185185185
RITA-small,30,0.462962962962963
RITA-small,30,0.39043209876543217
RITA-small,30,0.5108024691358024
RITA-small,30,0.6574074074074074
RITA-small,30,0.6234567901234568
RITA-small,30,0.4135802469135803
RITA-small,30,0.5910493827160493
RITA-small,30,0.26543209876543206
RITA-small,30,0.5632716049382717
RITA-small,30,0.33024691358024694
RITA-small,30,0.5771604938271604
RITA-small,30,0.48611111111111116
RITA-small,30,0.4583333333333333
RITA-small,-1,0.6574074074074074
RITA-small,-1,0.45524691358024694
RITA-small,-1,0.47530864197530864
RITA-small,-1,0.4182098765432099
RITA-small,-1,0.44907407407407407
RITA-small,-1,0.6203703703703703
RITA-small,-1,0.7407407407407407
RITA-small,-1,0.35185185185185186
RITA-small,-1,0.595679012345679
RITA-small,-1,0.3441358024691358
RITA-small,-1,0.5108024691358025
RITA-small,-1,0.45833333333333337
RITA-small,-1,0.5123456790123457
RITA-small,-1,0.5771604938271604
RITA-small,-1,0.4305555555555556
