distinct_3mer,plddt,collapse,gen_len,highlight
0.3388,28.85,1,123,eerhv_repeat
0.3648,85.87,0,246,ubiquitin_repeat
0.4677,38.56,1,126,none
0.5059,67.62,0,87,none
0.6017,36.93,1,120,none
0.8261,71.46,0,117,none
0.8491,61.36,0,55,none
0.8605,41.31,1,45,none
0.898,57.2,1,51,none
0.9,77.3,0,12,none
0.9206,71.02,0,128,none
0.9245,51.89,1,108,none
0.9537,47.05,1,110,none
0.9538,76.45,0,67,none
0.9579,54.67,1,97,none
0.9655,53.1,1,60,none
0.9683,43.08,1,65,diverse_collapsed
0.9773,56.71,1,46,none
0.9787,69.41,0,96,none
0.9792,55.46,1,50,none
0.9829,64.59,0,119,none
0.9831,51.38,1,120,none
0.9907,65.73,0,109,none
0.9907,70.09,0,109,none
1.0,45.11,1,57,none
1.0,52.36,1,6,none
1.0,53.76,1,14,none
1.0,56.67,1,4,none
1.0,58.1,1,13,none
1.0,58.17,1,28,none
1.0,58.28,1,107,none
1.0,59.4,1,5,none
1.0,60.92,0,51,none
1.0,61.31,0,10,none
1.0,62.21,0,9,none
1.0,62.24,0,56,none
1.0,62.99,0,17,none
1.0,64.11,0,10,none
1.0,67.84,0,18,none
1.0,69.36,0,3,none
1.0,70.46,0,4,none
1.0,74.47,0,52,none
