layer,k,features,auc_mean,auc_sd
12.0,3,sae,0.6376221905547639,0.010010772077629435
12.0,3,raw,0.6657488312207805,0.010316406985206495
12.0,20,sae,0.7101996299907498,0.005928455700676449
12.0,20,raw,0.7605024500612515,0.006776704652170637
12.0,64,sae,0.7442579814495363,0.004986825773640753
12.0,64,raw,0.7712020925523139,0.005520113845255326
30.0,3,sae,0.643426398159954,0.009171717684495923
30.0,3,raw,0.6831283282082052,0.006095171509948839
30.0,20,sae,0.7485324633115827,0.006993128061412415
30.0,20,raw,0.8337314682867071,0.00578520776457302
30.0,64,sae,0.7892081677041926,0.003327834069776406
30.0,64,raw,0.8514215980399511,0.0033711796626023885
,1,entropy,0.5557451436285907,0.00618576251974235
