layer,k,features,auc_mean,auc_sd
12.0,3,sae,0.6023884972124304,0.01851644609597903
12.0,3,raw,0.6657488312207805,0.010316406985206495
12.0,20,sae,0.6901050651266283,0.007751731625845634
12.0,20,raw,0.7605024500612515,0.006776704652170637
12.0,64,sae,0.7021094277356934,0.005009535757606778
12.0,64,raw,0.7712020925523139,0.005520113845255326
30.0,3,sae,0.5380922023050576,0.005614316367407382
30.0,3,raw,0.6831283282082052,0.006095171509948839
30.0,20,sae,0.5989524738118452,0.015193788674699671
30.0,20,raw,0.8337314682867071,0.00578520776457302
30.0,64,sae,0.7318164204105102,0.0075806509086864355
30.0,64,raw,0.8514215980399511,0.0033711796626023885
,1,entropy,0.5557451436285907,0.00618576251974235
