truncation,budget,k,found,recall,precision,enrichment
10,0.1,20,16,0.16161616161616163,0.8,1.6
10,0.2,40,30,0.30303030303030304,0.75,1.5
10,0.3,59,42,0.42424242424242425,0.711864406779661,1.423728813559322
10,0.4,79,50,0.5050505050505051,0.6329113924050633,1.2658227848101267
10,0.5,99,58,0.5858585858585859,0.5858585858585859,1.1717171717171717
10,0.6,119,68,0.6868686868686869,0.5714285714285714,1.1428571428571428
10,0.7,139,77,0.7777777777777778,0.5539568345323741,1.1079136690647482
10,0.8,158,83,0.8383838383838383,0.5253164556962026,1.0506329113924051
10,0.9,178,92,0.9292929292929293,0.5168539325842697,1.0337078651685394
10,1.0,198,99,1.0,0.5,1.0
20,0.1,20,17,0.1717171717171717,0.85,1.7
20,0.2,40,31,0.31313131313131315,0.775,1.55
20,0.3,59,41,0.41414141414141414,0.6949152542372882,1.3898305084745763
20,0.4,79,51,0.5151515151515151,0.6455696202531646,1.2911392405063291
20,0.5,99,62,0.6262626262626263,0.6262626262626263,1.2525252525252526
20,0.6,119,67,0.6767676767676768,0.5630252100840336,1.1260504201680672
20,0.7,139,75,0.7575757575757576,0.539568345323741,1.079136690647482
20,0.8,158,83,0.8383838383838383,0.5253164556962026,1.0506329113924051
20,0.9,178,90,0.9090909090909091,0.5056179775280899,1.0112359550561798
20,1.0,198,99,1.0,0.5,1.0
30,0.1,20,17,0.1717171717171717,0.85,1.7
30,0.2,40,33,0.3333333333333333,0.825,1.65
30,0.3,59,46,0.46464646464646464,0.7796610169491526,1.5593220338983051
30,0.4,79,58,0.5858585858585859,0.7341772151898734,1.4683544303797469
30,0.5,99,69,0.696969696969697,0.696969696969697,1.393939393939394
30,0.6,119,72,0.7272727272727273,0.6050420168067226,1.2100840336134453
30,0.7,139,80,0.8080808080808081,0.5755395683453237,1.1510791366906474
30,0.8,158,86,0.8686868686868687,0.5443037974683544,1.0886075949367089
30,0.9,178,93,0.9393939393939394,0.5224719101123596,1.0449438202247192
30,1.0,198,99,1.0,0.5,1.0
-1,0.1,20,17,0.1717171717171717,0.85,1.7
-1,0.2,40,36,0.36363636363636365,0.9,1.8
-1,0.3,59,47,0.47474747474747475,0.7966101694915254,1.5932203389830508
-1,0.4,79,55,0.5555555555555556,0.6962025316455697,1.3924050632911393
-1,0.5,99,65,0.6565656565656566,0.6565656565656566,1.3131313131313131
-1,0.6,119,73,0.7373737373737373,0.6134453781512605,1.226890756302521
-1,0.7,139,81,0.8181818181818182,0.5827338129496403,1.1654676258992807
-1,0.8,158,87,0.8787878787878788,0.5506329113924051,1.1012658227848102
-1,0.9,178,93,0.9393939393939394,0.5224719101123596,1.0449438202247192
-1,1.0,198,99,1.0,0.5,1.0
